id,car_class,city_mpg,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
1027,suv,47,51,8,4.2,fwd,diesel,55,Ford,F-150,m,2019
1028,midsize,59,64,10,1.1,4wd,diesel,69,Nissan,Sentra,a,2018
1029,luxury,11,14,10,2,4wd,diesel,17,Chevrolet,Malibu,a,2011
1030,fullsize,45,48,12,5.7,awd,diesel,52,BMW,320i,m,2020
1031,truck,103,105,0,0,4wd,electricity,108,Honda,Fit,m,2016
1032,midsize,38,42,10,2.3,rwd,gas,47,Mercedes,GLC300,m,2013
1033,van,26,28,3,1.8,rwd,gas,30,BMW,X3,a,2021
1034,truck,25,28,8,3.9,4wd,gas,32,Honda,Fit,m,2011
1035,economy,14,17,8,3.8,fwd,diesel,20,Ford,Focus,m,2023
1036,midsize,56,59,10,3.8,4wd,gas,63,BMW,320i,a,2017
1037,midsize,43,44,10,2.3,fwd,gas,46,Toyota,Camry,m,2017
1038,van,42,44,10,1.4,fwd,diesel,46,Tesla,Model X,m,2016
1039,fullsize,95,97,0,0,awd,electricity,99,Tesla,Model 3,a,2015
1040,truck,42,45,6,4.2,rwd,diesel,49,Chevrolet,Malibu,a,2020
1041,luxury,96,97,0,0,rwd,electricity,98,Tesla,Model 3,m,2021
1042,truck,49,54,10,5.7,fwd,diesel,59,Tesla,Model Y,m,2012
1043,van,49,54,12,3.3,4wd,diesel,59,BMW,320i,a,2014
1044,luxury,41,42,12,4.6,awd,diesel,43,Ford,Focus,a,2015
1045,van,57,59,4,3.1,rwd,diesel,61,Tesla,Model 3,m,2017
1046,suv,18,19,12,1.2,rwd,diesel,21,Tesla,Model Y,a,2016
1047,truck,60,61,3,1.1,rwd,gas,63,Nissan,Altima,a,2023
1048,compact,93,94,0,0,awd,electricity,95,Tesla,Model 3,m,2012
1049,compact,100,102,0,0,fwd,electricity,105,Mercedes,GLE350,a,2023
1050,suv,12,15,4,4,4wd,gas,19,Chevrolet,Equinox,a,2014
1051,luxury,41,42,10,3.7,awd,diesel,44,Toyota,Prius,m,2018
1052,compact,12,16,4,6.4,fwd,gas,21,Ford,Fusion,a,2014
1053,luxury,21,24,12,4.7,awd,diesel,28,Honda,CR-V,a,2013
1054,economy,46,49,12,4.4,rwd,gas,53,Chevrolet,Malibu,a,2015
1055,van,50,51,4,6,rwd,gas,52,BMW,320i,m,2011
1056,suv,108,109,0,0,4wd,electricity,110,Tesla,Model Y,m,2023
1057,luxury,33,35,10,2.3,fwd,gas,37,Chevrolet,Malibu,a,2020
1058,compact,22,24,12,4.2,4wd,gas,26,Mercedes,GLE350,a,2023
1059,truck,15,20,6,2.3,fwd,diesel,25,Nissan,Altima,m,2013
1060,economy,42,45,3,3,rwd,gas,49,BMW,X5,a,2021
1061,suv,29,31,8,6.3,4wd,gas,34,Mercedes,GLE350,m,2011
1062,midsize,51,53,12,2.4,4wd,gas,56,Mercedes,GLC300,m,2017
1063,truck,45,48,4,2.6,fwd,diesel,52,Honda,Civic,m,2018
1064,luxury,109,110,0,0,fwd,electricity,111,Tesla,Model Y,m,2021
1065,midsize,102,106,0,0,fwd,electricity,110,Nissan,Altima,a,2015
1066,midsize,114,115,0,0,rwd,electricity,116,Tesla,Model S,a,2015
1067,suv,53,57,12,3.9,4wd,diesel,62,Tesla,Model 3,a,2015
1068,compact,11,14,3,2.9,4wd,gas,17,Toyota,RAV4,a,2017
1069,suv,14,19,8,6.1,awd,diesel,24,Toyota,Camry,a,2023
1070,luxury,43,47,6,3.9,4wd,diesel,51,Toyota,Prius,m,2018
1071,compact,28,31,8,3.2,awd,diesel,35,BMW,X3,m,2015
1072,compact,40,41,3,2.2,rwd,gas,42,Ford,F-150,a,2019
1073,luxury,27,28,8,1.3,rwd,diesel,29,Nissan,Altima,m,2013
1074,fullsize,23,26,8,6,rwd,gas,30,BMW,320i,m,2014
1075,van,54,58,12,5.4,fwd,diesel,63,Toyota,Corolla,m,2012
1076,economy,31,34,8,1.1,rwd,diesel,38,Ford,F-150,m,2019
1077,luxury,41,44,3,2.8,4wd,diesel,47,Toyota,Prius,a,2014
1078,luxury,11,15,10,4.3,rwd,gas,20,Toyota,Corolla,a,2023
1079,fullsize,114,117,0,0,fwd,electricity,120,Ford,Focus,a,2013
1080,midsize,54,57,12,1.3,awd,gas,60,Tesla,Model 3,a,2023
1081,van,44,48,12,5.6,4wd,diesel,52,Mercedes,GLC300,a,2021
1082,truck,105,107,0,0,rwd,electricity,109,Nissan,Sentra,a,2010
1083,van,51,54,12,1.3,awd,diesel,58,Nissan,Sentra,m,2015
1084,van,41,42,4,1.9,fwd,diesel,44,Chevrolet,Silverado,m,2011
1085,luxury,19,22,3,1.6,awd,diesel,26,Nissan,Altima,a,2015
1086,fullsize,95,100,0,0,awd,electricity,105,Chevrolet,Malibu,m,2013
1087,luxury,103,106,0,0,rwd,electricity,110,Honda,CR-V,m,2015
1088,midsize,90,91,0,0,awd,electricity,93,Toyota,Prius,a,2021
1089,economy,33,38,4,3.6,fwd,gas,43,BMW,528i,m,2013
1090,midsize,116,121,0,0,fwd,electricity,126,Mercedes,GLC300,m,2016
1091,economy,115,119,0,0,4wd,electricity,124,Tesla,Model S,a,2012
1092,economy,116,120,0,0,awd,electricity,124,Tesla,Model 3,m,2013
1093,van,24,27,10,1.1,4wd,gas,30,Honda,CR-V,a,2015
1094,economy,24,28,8,3.6,4wd,diesel,33,BMW,528i,m,2016
1095,economy,114,118,0,0,rwd,electricity,122,Honda,CR-V,m,2019
1096,economy,120,124,0,0,awd,electricity,129,Ford,Escape,a,2019
1097,luxury,115,116,0,0,awd,electricity,118,Ford,F-150,m,2017
1098,luxury,90,92,0,0,awd,electricity,94,Nissan,Sentra,a,2012
1099,van,116,117,0,0,fwd,electricity,118,Chevrolet,Malibu,a,2010
1100,midsize,36,39,4,4.3,4wd,diesel,43,Nissan,Rogue,m,2010
1101,van,36,41,8,4.9,awd,gas,46,Honda,Civic,m,2023
1102,economy,118,120,0,0,rwd,electricity,123,Ford,Fusion,m,2010
1103,economy,34,36,6,3.5,rwd,gas,38,Tesla,Model Y,a,2019
1104,midsize,39,42,4,6.4,fwd,diesel,46,Toyota,Camry,a,2011
1105,midsize,113,118,0,0,4wd,electricity,123,BMW,528i,a,2011
1106,midsize,26,30,3,3.3,4wd,diesel,34,Nissan,Sentra,a,2010
1107,van,108,111,0,0,rwd,electricity,114,Tesla,Model X,m,2010
1108,midsize,34,35,12,1.5,fwd,gas,37,Nissan,Sentra,m,2015
1109,compact,94,97,0,0,fwd,electricity,100,Ford,Escape,m,2011
1110,compact,35,37,8,1,4wd,gas,39,Mercedes,E350,a,2015
1111,compact,97,99,0,0,4wd,electricity,101,Honda,Accord,a,2011
1112,truck,33,34,12,2.9,rwd,diesel,35,Chevrolet,Malibu,a,2011
1113,midsize,18,21,12,4,awd,diesel,24,Ford,Escape,a,2021
1114,fullsize,24,25,3,4.8,awd,diesel,27,Toyota,RAV4,a,2016
1115,economy,16,19,4,4.7,rwd,gas,22,Chevrolet,Malibu,m,2022
1116,luxury,38,43,6,6.3,4wd,diesel,48,Tesla,Model S,a,2011
1117,economy,119,122,0,0,4wd,electricity,125,Tesla,Model S,m,2010
1118,luxury,42,47,10,6,fwd,diesel,52,Ford,Escape,a,2012
1119,truck,95,96,0,0,rwd,electricity,97,Toyota,Corolla,a,2018
1120,economy,50,52,6,6.5,fwd,gas,55,Chevrolet,Equinox,a,2016
1121,midsize,91,94,0,0,4wd,electricity,98,Honda,Accord,a,2018
1122,fullsize,36,40,8,2.1,rwd,diesel,45,Ford,Focus,m,2017
1123,economy,114,118,0,0,fwd,electricity,122,Honda,CR-V,a,2015
1124,fullsize,16,17,3,3.6,fwd,diesel,18,Honda,Accord,m,2018
1125,compact,96,99,0,0,awd,electricity,102,BMW,320i,m,2012
1126,economy,21,23,10,4.5,4wd,gas,26,Mercedes,C300,a,2016
1127,economy,43,44,8,1.9,4wd,diesel,45,Mercedes,GLC300,m,2016
1128,van,53,54,12,5,fwd,gas,55,BMW,320i,m,2019
1129,luxury,116,119,0,0,4wd,electricity,123,Nissan,Altima,a,2021
1130,midsize,12,13,12,4.8,4wd,diesel,14,Toyota,RAV4,a,2022
1131,truck,35,39,4,3.1,fwd,diesel,43,BMW,X3,m,2021
1132,fullsize,97,100,0,0,fwd,electricity,103,Tesla,Model Y,a,2018
1133,luxury,110,114,0,0,fwd,electricity,118,Ford,F-150,a,2013
1134,luxury,56,58,10,5.6,rwd,diesel,60,Chevrolet,Malibu,m,2015
1135,van,105,106,0,0,awd,electricity,108,Honda,Civic,m,2015
1136,compact,52,55,8,1.5,fwd,gas,58,Toyota,Prius,a,2016
1137,truck,91,94,0,0,fwd,electricity,97,Honda,Accord,m,2011
1138,truck,36,38,8,3.1,awd,gas,41,Nissan,Altima,m,2015
1139,van,17,21,4,6.3,awd,diesel,26,BMW,320i,m,2016
1140,truck,22,26,10,5.2,fwd,diesel,31,Nissan,Rogue,a,2011
1141,midsize,15,19,8,4.3,fwd,diesel,23,Tesla,Model X,m,2022
1142,truck,91,93,0,0,awd,electricity,96,Toyota,RAV4,m,2023
1143,van,120,122,0,0,rwd,electricity,125,Ford,Focus,a,2010
1144,compact,113,115,0,0,rwd,electricity,117,Honda,Accord,m,2021
1145,fullsize,41,43,4,6.5,rwd,diesel,46,Nissan,Versa,m,2023
1146,suv,39,44,12,4.4,rwd,diesel,49,Ford,Escape,a,2021
1147,economy,47,52,3,4.8,fwd,diesel,57,Honda,Fit,m,2023
1148,suv,42,44,12,4.7,awd,diesel,47,Honda,Accord,a,2012
1149,van,36,38,4,3,rwd,diesel,40,Chevrolet,Silverado,a,2014
1150,midsize,53,54,6,6.1,awd,diesel,55,Nissan,Sentra,m,2014
1151,luxury,17,21,8,3.6,rwd,diesel,26,Ford,F-150,a,2020
1152,luxury,45,48,10,3.6,4wd,gas,52,Chevrolet,Equinox,m,2014
1153,fullsize,105,108,0,0,4wd,electricity,112,Mercedes,C300,a,2016
1154,suv,113,115,0,0,awd,electricity,118,Toyota,Corolla,a,2022
1155,luxury,19,22,10,5.8,awd,diesel,25,Mercedes,GLC300,a,2020
1156,suv,113,116,0,0,awd,electricity,119,Ford,Escape,a,2018
1157,economy,54,55,6,1.8,rwd,diesel,57,BMW,X5,m,2011
1158,van,90,91,0,0,awd,electricity,92,Ford,Escape,m,2015
1159,fullsize,20,21,3,3.8,4wd,gas,23,Nissan,Sentra,a,2015
1160,fullsize,117,122,0,0,rwd,electricity,127,BMW,X5,a,2015
1161,economy,58,60,3,1.8,rwd,gas,62,Nissan,Versa,m,2022
1162,compact,119,121,0,0,fwd,electricity,123,Chevrolet,Malibu,m,2014
1163,van,29,31,6,3.9,fwd,gas,34,Ford,Fusion,a,2013
1164,suv,45,48,10,5,4wd,diesel,51,BMW,X3,m,2011
1165,economy,44,45,12,5.5,4wd,gas,46,Mercedes,E350,m,2022
1166,compact,112,114,0,0,rwd,electricity,116,Toyota,Prius,a,2013
1167,compact,97,99,0,0,fwd,electricity,102,Chevrolet,Equinox,m,2018
1168,compact,112,117,0,0,rwd,electricity,122,Mercedes,GLC300,a,2015
1169,luxury,93,97,0,0,fwd,electricity,101,BMW,X3,m,2019
1170,suv,118,122,0,0,fwd,electricity,127,Ford,Fusion,m,2013
1171,economy,17,21,6,4.2,4wd,diesel,25,Honda,CR-V,a,2018
1172,luxury,96,97,0,0,4wd,electricity,99,BMW,X5,m,2015
1173,midsize,42,44,3,1.8,4wd,diesel,46,BMW,X3,a,2023
1174,van,23,25,12,3,fwd,gas,27,Tesla,Model S,a,2010
1175,economy,106,108,0,0,rwd,electricity,111,Ford,Escape,m,2021
1176,truck,53,56,12,2.3,rwd,diesel,59,Tesla,Model X,a,2022
1177,economy,35,36,10,4.6,4wd,diesel,37,BMW,X5,m,2020
1178,fullsize,111,113,0,0,4wd,electricity,115,Honda,CR-V,a,2014
1179,compact,23,24,8,1.5,4wd,gas,25,Toyota,Prius,a,2018
1180,truck,24,26,3,3.6,4wd,gas,28,Ford,Focus,a,2023
1181,economy,59,62,4,5.2,4wd,diesel,65,Honda,Accord,a,2013
1182,economy,16,18,12,2.3,4wd,gas,20,Nissan,Altima,a,2014
1183,economy,36,37,3,5.9,rwd,gas,39,Mercedes,GLE350,m,2014
1184,economy,57,58,6,1.2,rwd,gas,59,Toyota,Corolla,a,2010
1185,compact,112,117,0,0,fwd,electricity,122,Ford,Focus,a,2017
1186,fullsize,118,120,0,0,4wd,electricity,123,Mercedes,E350,m,2018
1187,fullsize,114,117,0,0,rwd,electricity,120,Chevrolet,Silverado,a,2019
1188,economy,31,34,12,5.2,fwd,gas,37,Toyota,RAV4,a,2017
1189,compact,48,51,3,2.5,awd,gas,55,Chevrolet,Silverado,a,2015
1190,truck,55,60,8,2.7,rwd,diesel,65,Toyota,Prius,a,2015
1191,midsize,36,41,12,2,fwd,gas,46,Tesla,Model X,a,2023
1192,fullsize,35,37,12,5.2,rwd,diesel,39,BMW,X5,a,2010
1193,fullsize,50,53,10,4.8,fwd,gas,57,Ford,Fusion,m,2020
1194,compact,37,40,3,4.2,awd,diesel,44,Toyota,Prius,m,2013
1195,economy,55,57,12,1.7,rwd,gas,60,Mercedes,E350,m,2020
1196,suv,43,46,8,1.4,4wd,diesel,50,Honda,Accord,m,2023
1197,midsize,107,108,0,0,awd,electricity,109,Honda,CR-V,m,2013
1198,midsize,24,28,4,4.7,rwd,diesel,33,Toyota,Prius,a,2020
1199,compact,15,17,3,5.6,rwd,gas,19,Toyota,Camry,a,2021
1200,midsize,28,29,3,2.3,fwd,gas,31,Nissan,Sentra,m,2016
1201,van,26,27,8,1.3,awd,gas,29,Toyota,Camry,m,2017
1202,fullsize,32,36,6,2.1,rwd,diesel,41,Honda,Civic,a,2015
1203,economy,112,114,0,0,4wd,electricity,116,Toyota,Corolla,m,2013
1204,compact,96,98,0,0,rwd,electricity,100,Mercedes,GLC300,m,2018
1205,economy,104,105,0,0,rwd,electricity,106,Ford,F-150,a,2013
1206,fullsize,52,54,8,1.7,fwd,diesel,57,Mercedes,E350,m,2016
1207,van,117,121,0,0,4wd,electricity,126,Nissan,Altima,a,2023
1208,economy,47,50,3,2.8,awd,gas,54,BMW,X3,m,2016
1209,fullsize,18,20,6,2.6,awd,diesel,23,Nissan,Versa,m,2014
1210,midsize,120,125,0,0,rwd,electricity,130,Toyota,Prius,a,2023
1211,compact,108,110,0,0,4wd,electricity,113,Toyota,Prius,a,2023
1212,compact,21,22,3,4.8,awd,gas,23,Tesla,Model Y,a,2016
1213,compact,11,14,3,2.2,4wd,diesel,18,Nissan,Rogue,a,2020
1214,compact,38,41,6,3.4,fwd,gas,44,Ford,Fusion,a,2010
1215,fullsize,108,109,0,0,rwd,electricity,111,BMW,X3,a,2015
1216,suv,92,93,0,0,fwd,electricity,94,Honda,Fit,m,2021
1217,economy,12,16,4,5.5,4wd,diesel,21,Honda,Accord,a,2021
1218,suv,53,58,3,6.3,4wd,diesel,63,Toyota,RAV4,a,2017
1219,luxury,113,114,0,0,fwd,electricity,115,Mercedes,C300,m,2015
1220,midsize,27,31,8,3.5,awd,diesel,36,Chevrolet,Equinox,m,2010
1221,van,94,95,0,0,fwd,electricity,96,Tesla,Model Y,m,2016
1222,compact,14,17,10,2.4,4wd,diesel,20,Nissan,Rogue,m,2010
1223,suv,102,107,0,0,rwd,electricity,112,Mercedes,E350,a,2017
1224,economy,46,48,8,1.4,awd,diesel,50,Honda,Civic,m,2020
1225,compact,53,54,10,4.1,fwd,diesel,56,BMW,320i,a,2023
1226,truck,94,97,0,0,fwd,electricity,101,Ford,Escape,m,2019
1227,midsize,116,118,0,0,4wd,electricity,121,Honda,CR-V,m,2019
1228,midsize,55,56,12,6.3,awd,diesel,57,Nissan,Altima,m,2017
1229,fullsize,12,13,12,3.8,fwd,diesel,14,Tesla,Model X,a,2022
1230,luxury,39,40,3,3,4wd,gas,41,Chevrolet,Silverado,m,2012
1231,luxury,42,43,3,4.5,awd,gas,45,Nissan,Sentra,a,2010
1232,midsize,16,18,6,4.7,awd,diesel,21,Chevrolet,Cruze,m,2017
1233,fullsize,24,26,12,2.6,awd,diesel,28,Toyota,RAV4,m,2011
1234,van,109,114,0,0,fwd,electricity,119,BMW,320i,a,2017
1235,midsize,95,98,0,0,awd,electricity,101,Chevrolet,Cruze,a,2015
1236,compact,33,35,6,2.2,rwd,gas,38,Ford,F-150,m,2018
1237,fullsize,13,16,12,6.3,awd,gas,20,Tesla,Model 3,m,2016
1238,van,102,103,0,0,fwd,electricity,104,Nissan,Altima,a,2023
1239,midsize,91,95,0,0,fwd,electricity,99,Chevrolet,Silverado,m,2013
1240,midsize,38,40,8,3.4,awd,gas,42,Toyota,Camry,m,2015
1241,truck,60,63,12,3.7,awd,gas,66,Mercedes,GLC300,a,2012
1242,truck,36,38,8,5.3,4wd,diesel,40,Nissan,Versa,m,2016
1243,midsize,37,40,4,3.9,awd,diesel,43,BMW,X5,a,2022
1244,fullsize,52,54,10,6.3,4wd,diesel,57,Chevrolet,Silverado,m,2011
1245,compact,26,27,10,3.5,fwd,gas,29,Chevrolet,Malibu,a,2021
1246,truck,101,102,0,0,rwd,electricity,104,Honda,Fit,m,2015
1247,compact,50,54,3,2.7,4wd,gas,59,Ford,F-150,m,2020
1248,truck,27,29,8,2.8,fwd,gas,31,Tesla,Model S,m,2012
1249,economy,92,96,0,0,4wd,electricity,100,Mercedes,C300,a,2018
1250,midsize,117,118,0,0,rwd,electricity,119,Ford,F-150,m,2014
1251,luxury,25,27,6,3.9,4wd,diesel,30,Nissan,Rogue,m,2020
1252,compact,38,41,8,2.7,awd,diesel,45,Toyota,Prius,m,2012
1253,economy,45,48,10,5.9,4wd,gas,52,Chevrolet,Silverado,m,2020
1254,van,14,15,10,3,awd,gas,16,Tesla,Model Y,a,2015
1255,truck,48,53,6,1.2,4wd,diesel,58,Ford,F-150,a,2023
1256,van,98,102,0,0,fwd,electricity,106,BMW,X5,a,2019
1257,compact,27,32,8,3.7,fwd,diesel,37,Chevrolet,Silverado,m,2018
1258,van,114,116,0,0,rwd,electricity,119,Toyota,Prius,a,2022
1259,van,38,42,4,3.5,awd,diesel,46,Honda,Accord,m,2012
1260,midsize,51,55,8,1.7,4wd,gas,59,Honda,Civic,a,2017
1261,fullsize,36,38,3,2.1,rwd,diesel,40,Tesla,Model S,a,2020
1262,van,112,115,0,0,awd,electricity,119,Nissan,Sentra,a,2022
1263,midsize,108,110,0,0,fwd,electricity,112,Mercedes,GLE350,a,2013
1264,compact,98,101,0,0,4wd,electricity,105,Chevrolet,Equinox,a,2010
1265,suv,90,94,0,0,awd,electricity,98,Honda,Fit,a,2011
1266,fullsize,10,14,10,5.9,rwd,gas,19,BMW,X5,m,2022
1267,compact,54,55,8,1.5,4wd,diesel,56,Ford,F-150,m,2013
1268,economy,33,36,12,5.3,4wd,gas,39,Toyota,RAV4,m,2021
1269,truck,108,111,0,0,4wd,electricity,115,Ford,Fusion,a,2023
1270,compact,54,58,10,5.2,rwd,diesel,62,Tesla,Model X,m,2015
1271,suv,41,43,8,5,rwd,diesel,46,Nissan,Versa,a,2010
1272,midsize,51,52,4,3,fwd,diesel,53,Ford,Escape,a,2021
1273,luxury,116,117,0,0,4wd,electricity,119,Tesla,Model X,m,2015
1274,truck,27,28,4,4.6,rwd,gas,30,Mercedes,E350,m,2012
1275,fullsize,48,49,10,1.5,fwd,gas,50,Ford,Fusion,m,2016
1276,luxury,92,96,0,0,4wd,electricity,101,Chevrolet,Equinox,m,2011
1277,economy,56,58,8,3.4,rwd,gas,60,Honda,Civic,a,2023
1278,truck,45,49,3,5.1,4wd,diesel,54,Nissan,Versa,m,2015
1279,suv,16,19,12,1,4wd,diesel,23,Ford,Escape,m,2012
1280,midsize,116,118,0,0,4wd,electricity,120,Honda,Accord,a,2022
1281,van,25,27,10,3.5,rwd,diesel,30,Tesla,Model 3,m,2017
1282,economy,50,54,12,2.7,rwd,gas,59,Tesla,Model X,m,2012
1283,midsize,16,19,6,2.4,fwd,diesel,23,Tesla,Model X,a,2013
1284,compact,31,34,6,2.2,fwd,diesel,37,Honda,CR-V,m,2018
1285,van,28,32,3,2.7,4wd,diesel,36,Tesla,Model X,a,2016
1286,fullsize,96,99,0,0,rwd,electricity,103,Honda,Accord,a,2012
1287,suv,20,21,8,6.1,awd,diesel,22,Mercedes,E350,a,2013
1288,suv,46,49,4,2.1,4wd,diesel,52,Ford,Escape,m,2014
1289,suv,29,30,6,3.6,fwd,diesel,31,Mercedes,E350,a,2015
1290,fullsize,26,30,12,2.8,fwd,gas,34,Nissan,Sentra,a,2015
1291,midsize,32,33,8,5.2,rwd,diesel,35,Chevrolet,Equinox,m,2014
1292,compact,56,61,6,6.2,awd,diesel,66,Ford,Escape,a,2021
1293,compact,43,46,4,2.5,4wd,diesel,49,Chevrolet,Equinox,a,2012
1294,suv,108,112,0,0,rwd,electricity,117,Chevrolet,Equinox,m,2022
1295,economy,26,31,6,2.1,fwd,gas,36,Ford,Escape,a,2019
1296,suv,41,45,8,2.1,4wd,diesel,49,Nissan,Versa,a,2013
1297,economy,104,109,0,0,rwd,electricity,114,Mercedes,GLC300,m,2016
1298,fullsize,113,114,0,0,4wd,electricity,115,Tesla,Model S,m,2018
1299,truck,95,97,0,0,rwd,electricity,100,Ford,F-150,a,2021
1300,truck,56,60,10,4.8,rwd,diesel,64,Mercedes,GLE350,a,2010
1301,compact,48,49,3,5.8,rwd,gas,51,Honda,Accord,a,2016
1302,compact,13,14,12,4.9,rwd,diesel,16,BMW,X5,m,2020
1303,midsize,107,108,0,0,rwd,electricity,110,Mercedes,E350,a,2023
1304,economy,20,25,10,1.8,rwd,diesel,30,Chevrolet,Malibu,m,2013
1305,compact,116,117,0,0,rwd,electricity,119,Tesla,Model X,m,2017
1306,midsize,91,95,0,0,4wd,electricity,100,Ford,Escape,m,2021
1307,midsize,34,37,10,3.5,awd,gas,40,Mercedes,GLE350,m,2016
1308,van,17,21,6,2.2,awd,gas,25,BMW,528i,m,2016
1309,luxury,108,111,0,0,rwd,electricity,115,Nissan,Sentra,a,2018
1310,compact,91,93,0,0,4wd,electricity,95,Chevrolet,Malibu,m,2014
1311,luxury,59,61,6,4.9,4wd,gas,63,Mercedes,C300,a,2021
1312,fullsize,58,60,6,5.6,rwd,gas,62,Toyota,Camry,m,2013
1313,fullsize,49,50,8,6.1,rwd,diesel,51,Toyota,Camry,m,2017
1314,fullsize,113,117,0,0,4wd,electricity,121,Nissan,Altima,m,2011
1315,luxury,43,46,3,4.1,awd,gas,49,Honda,Accord,a,2012
1316,economy,11,15,12,4.6,fwd,diesel,19,Mercedes,E350,a,2018
1317,compact,57,60,6,2.3,awd,gas,64,Toyota,Prius,m,2017
1318,compact,104,106,0,0,4wd,electricity,108,Mercedes,GLE350,m,2014
1319,luxury,17,19,4,1.7,fwd,gas,21,Honda,Civic,a,2012
1320,truck,15,17,12,6.1,awd,diesel,19,Tesla,Model S,m,2010
1321,fullsize,18,19,8,4.6,fwd,diesel,20,Nissan,Rogue,m,2021
1322,midsize,52,56,6,2,rwd,diesel,60,Mercedes,C300,a,2019
1323,economy,51,52,10,3.6,fwd,diesel,54,Nissan,Rogue,m,2023
1324,luxury,56,59,12,3.2,rwd,diesel,63,Ford,Escape,a,2017
1325,economy,51,54,12,3.8,4wd,gas,57,Tesla,Model S,m,2016
1326,economy,45,48,3,3.2,awd,gas,52,Nissan,Altima,a,2016
1327,luxury,21,24,4,2.6,rwd,gas,27,Ford,Focus,a,2015
1328,economy,37,42,4,2.2,awd,diesel,47,Nissan,Altima,a,2011
1329,truck,47,50,8,2.4,awd,diesel,53,Chevrolet,Cruze,m,2011
1330,compact,94,97,0,0,rwd,electricity,101,Chevrolet,Equinox,m,2022
1331,truck,28,30,12,2,awd,diesel,33,Honda,Accord,a,2013
1332,van,90,95,0,0,4wd,electricity,100,Ford,Fusion,m,2015
1333,fullsize,12,17,3,4.9,fwd,diesel,22,Ford,Fusion,a,2016
1334,fullsize,46,50,10,1.6,awd,diesel,55,Ford,Fusion,m,2012
1335,midsize,54,56,4,4.1,rwd,diesel,58,Chevrolet,Malibu,m,2016
1336,van,53,54,8,5.5,awd,diesel,56,Honda,Fit,m,2010
1337,fullsize,52,55,8,4.5,fwd,diesel,59,Toyota,Prius,a,2020
1338,economy,43,46,10,1.5,fwd,diesel,49,Tesla,Model S,m,2016
1339,fullsize,52,54,10,1.2,rwd,gas,57,Ford,Focus,m,2018
1340,economy,53,55,8,3.9,fwd,gas,58,Toyota,Prius,m,2015
1341,van,56,59,10,3.7,awd,diesel,62,Mercedes,C300,a,2021
1342,fullsize,31,32,10,2.5,4wd,diesel,33,Chevrolet,Cruze,m,2021
1343,economy,53,56,3,1.1,fwd,gas,60,Honda,Civic,m,2022
1344,luxury,59,62,6,1.6,awd,diesel,66,Chevrolet,Silverado,m,2022
1345,economy,31,35,10,2.7,awd,gas,39,BMW,528i,a,2016
1346,suv,37,41,8,5.2,awd,gas,46,Toyota,Corolla,m,2012
1347,luxury,117,120,0,0,fwd,electricity,123,Mercedes,GLC300,m,2011
1348,economy,108,113,0,0,rwd,electricity,118,Mercedes,C300,a,2017
1349,luxury,18,20,10,3.4,awd,gas,23,Chevrolet,Silverado,a,2014
1350,truck,114,118,0,0,fwd,electricity,122,Chevrolet,Malibu,m,2015
1351,economy,107,109,0,0,4wd,electricity,112,BMW,X3,m,2016
1352,luxury,48,50,3,2.6,fwd,gas,53,Toyota,Prius,m,2019
1353,compact,13,17,4,4.9,fwd,gas,21,BMW,X5,a,2023
